claim_id,experiment,metric,comparison,stats_unit,n_planned,n_complete,n_failed,estimate,ci_low,ci_high,effect_size,p_value,multiplicity_method,conclusion,criterion,note
A1_rank_matches_feedback,exp01,effective_rank,aligned d=4 minus target rank 4,seed,20,20,0,-1.8121345320931682e-05,-2.0592776934498235e-05,-1.5905182646617222e-05,-1.8121345320931682e-05,1.811981201171875e-05,holm(full_registered_family),support,"95% CI of effective-rank minus 4 lies within [-0.5, 0.5]",paired 95% bootstrap CI at the declared independent-unit level; two-one-sided margin tests awaits full-family Holm adjustment; p_value is Holm-adjusted across all 34 registered claims (raw Wilcoxon p=9.53674316406e-07); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
A2_d4_r2_noninferior_full,exp01,latent_r2,aligned d=4 minus aligned d=128,seed,20,20,0,5.038215443314842e-06,-3.904777971829587e-06,1.6329565974894378e-05,5.038215443314842e-06,1.811981201171875e-05,holm(full_registered_family),support,one-sided non-inferiority margin is -0.01 latent R2,paired 95% bootstrap CI at the declared independent-unit level; one-sided support-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 34 registered claims (raw Wilcoxon p=9.53674316406e-07); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
A3_alignment_is_necessary,exp01,latent_r2,aligned d=4 minus orthogonal d=4,seed,20,20,0,0.9727198270863889,0.971781168773587,0.9736160710197403,0.9727198270863889,1.811981201171875e-05,holm(full_registered_family),support,aligned latent-R2 advantage CI lower bound is at least 0.10,paired 95% bootstrap CI at the declared independent-unit level; one-sided support-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 34 registered claims (raw Wilcoxon p=9.53674316406e-07); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
B1a_local_absolute_accuracy,exp02/03,accuracy,local accuracy minus absolute threshold 0.85,seed,20,20,0,-0.17468749999999997,-0.23031249999999998,-0.11937499999999998,-0.17468749999999997,0.0007697018620968842,holm(full_registered_family),oppose,local absolute accuracy-minus-0.85 CI is reported independently,paired 95% bootstrap CI at the declared independent-unit level; one-sided oppose-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 34 registered claims (raw Wilcoxon p=6.99728965543e-05); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
B1b_local_relative_noninferiority,exp02/03,accuracy,local minus 90% of paired BPTT accuracy,seed,20,20,0,0.1263125,0.05167968750000003,0.1959437499999999,0.1263125,0.019439697265625,holm(full_registered_family),support,local relative non-inferiority to 90% of paired BPTT is reported independently of absolute performance,paired 95% bootstrap CI at the declared independent-unit level; one-sided support-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 34 registered claims (raw Wilcoxon p=0.0024299621582); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
B2_gate_reduces_switch_cost,exp02/03,switch_cost,no-gate switch cost minus gated-local switch cost,seed,20,0,0,,,,,,holm(full_registered_family),inconclusive,"hidden-context gate improves switch cost without true-context access in the cue, gate fit/test, oracle warm start, or recurrent third factor",legacy exp02/03 lacks leakage-free hidden-context provenance; exp03 is a supervised/oracle-warm-start upper bound and the legacy no-gate third factor receives true context
P2a_hmm_context_nll,exp09,context_nll,no-gate minus learned-HMM context NLL,seed,30,30,0,0.32750767728305646,0.31889034222672374,0.33567640076197447,0.32750767728305646,3.166496753692627e-08,holm(full_registered_family),support,learned HMM improves context NLL by at least 0.02 nats/trial,paired 95% bootstrap CI at the declared independent-unit level; one-sided support-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 34 registered claims (raw Wilcoxon p=9.31322574615e-10); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
P2b_md_context_nll,exp09,context_nll,no-gate minus MD-belief context NLL,seed,30,30,0,0.3349576771878595,0.33253823132681565,0.3375543437877225,0.3349576771878595,3.166496753692627e-08,holm(full_registered_family),support,MD belief improves context NLL by at least 0.02 nats/trial,paired 95% bootstrap CI at the declared independent-unit level; one-sided support-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 34 registered claims (raw Wilcoxon p=9.31322574615e-10); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
P2c_md_context_brier,exp09,context_brier,no-gate minus MD-belief Brier score,seed,30,30,0,0.12929537571307298,0.12842506471025006,0.13026503721697155,0.12929537571307298,3.166496753692627e-08,holm(full_registered_family),support,MD belief improves Brier score by at least 0.01,paired 95% bootstrap CI at the declared independent-unit level; one-sided support-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 34 registered claims (raw Wilcoxon p=9.31322574615e-10); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
P2d_md_calibration,exp09,context_ece,MD-belief ECE minus absolute calibration threshold 0.05,seed,30,30,0,-0.017611985125663577,-0.019062877332053065,-0.016049271473348208,-0.017611985125663577,3.166496753692627e-08,holm(full_registered_family),support,MD ECE upper CI <=0.05; ECE lower CI >=0.10 opposes,paired 95% bootstrap CI at the declared independent-unit level; one-sided support-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 34 registered claims (raw Wilcoxon p=9.31322574615e-10); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
